Date,Open,High,Low,Close,Volume
2022-02-22,2569.89,2666.0,2500.3,2637.51,200522.7564
2022-02-23,2637.74,2754.94,2577.22,2580.18,193643.7375
2022-02-24,2580.95,2736.8,2301.4,2597.39,393899.6476
2022-02-25,2597.79,2836.73,2573.07,2769.54,193993.115
2022-02-26,2769.54,2879.63,2728.8,2780.95,123622.2312
2022-02-27,2780.95,2837.44,2560.0,2618.24,197343.8458
2022-02-28,2617.76,2950.0,2570.0,2922.13,240651.9018
2022-03-01,2922.52,3038.37,2855.0,2977.7,216866.2331
2022-03-02,2977.7,3045.0,2915.2,2948.67,209101.6307
2022-03-03,2948.79,2972.0,2785.3,2834.24,145007.042
2022-03-04,2834.23,2835.88,2573.72,2622.87,193398.1464
2022-03-05,2622.47,2685.09,2590.04,2665.4,71562.3996
2022-03-06,2665.4,2676.56,2535.0,2551.33,90067.9884
2022-03-07,2551.38,2649.0,2445.59,2491.66,174284.5139
2022-03-08,2491.58,2624.3,2480.6,2576.54,171130.6419
2022-03-09,2576.55,2774.63,2567.75,2727.75,157891.8046
2022-03-10,2727.75,2733.98,2553.56,2607.51,160670.6015
2022-03-11,2607.67,2677.22,2523.49,2557.04,134305.9458
2022-03-12,2557.04,2617.1,2553.8,2569.31,48521.7448
2022-03-13,2569.3,2603.47,2493.77,2515.93,68655.3447
2022-03-14,2515.93,2609.57,2499.2,2589.97,124534.1576
2022-03-15,2589.58,2669.0,2508.0,2618.68,132686.8114
2022-03-16,2618.61,2788.82,2604.0,2774.81,196257.9737
2022-03-17,2774.85,2838.0,2747.81,2813.29,119138.7143
2022-03-18,2813.28,2986.22,2768.74,2940.46,136423.8422
2022-03-19,2940.46,2988.02,2892.5,2952.01,75671.9354
2022-03-20,2952.01,2965.7,2820.0,2862.93,90594.0117
2022-03-21,2862.93,2962.06,2832.85,2891.01,112781.7031
2022-03-22,2891.0,3054.76,2887.6,2970.8,141247.9173
2022-03-23,2970.79,3045.75,2921.45,3036.82,125609.7415
2022-03-24,3036.98,3130.27,3003.0,3112.65,166267.1104
2022-03-25,3112.66,3194.59,3077.1,3103.66,142854.8275
2022-03-26,3103.65,3154.63,3086.5,3146.25,51723.6259
2022-03-27,3146.25,3299.99,3127.69,3296.54,91168.6894
2022-03-28,3296.53,3433.06,3276.3,3334.76,143710.2349
2022-03-29,3334.75,3483.51,3331.42,3402.1,129192.689
2022-03-30,3401.87,3448.0,3334.5,3386.05,99152.9909
2022-03-31,3386.51,3445.03,3262.38,3282.55,132300.2526
2022-04-01,3282.56,3483.11,3211.82,3456.02,156803.2855
2022-04-02,3456.02,3532.59,3434.0,3444.3,128755.7038
2022-04-03,3444.7,3581.18,3414.04,3522.83,100143.0854
2022-04-04,3522.83,3550.0,3409.2,3520.19,116943.8403
2022-04-05,3520.63,3555.15,3395.78,3407.2,107508.6775
2022-04-06,3407.21,3408.32,3162.89,3168.76,188738.7012
2022-04-07,3168.76,3269.0,3142.39,3227.78,122833.3361
2022-04-08,3227.63,3314.36,3171.94,3192.58,127903.5873
2022-04-09,3192.58,3268.96,3147.42,3259.29,56963.8745
2022-04-10,3259.06,3308.3,3194.0,3203.63,56093.7558
2022-04-11,3203.63,3214.0,2947.45,2979.93,184616.888
